pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_dens,st_age,sy_dist
"WASP-100 b","WASP-100",2,1,0,0,"Transit",2014,"SuperWASP",2.84937500,18.940,645.17000,0.53000,,364.4110000
"HD 23472 c","HD 23472",1,5,0,0,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",29.79749000,1.870,3.41000,3.10000,,39.0341000
"TOI-1937 A b","TOI-1937 A",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",0.94667870,14.666,,,,415.1350000
"WASP-100 b","WASP-100",2,1,0,0,"Transit",2014,"SuperWASP",2.84938206,,,,,364.4110000
"NGTS-14 A b","NGTS-14 A",2,1,0,0,"Transit",2021,"Paranal Observatory",3.53571730,4.977,29.24036,1.39500,5.900,322.1480000
"HD 202772 A b","HD 202772 A",2,1,0,0,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",3.30895800,17.318,323.23311,0.34300,1.700,161.4980000
"TOI-2364 b","TOI-2364",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.01975170,8.608,71.51139,0.61000,3.500,219.6140000
"TOI-1937 A b","TOI-1937 A",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",0.94667944,13.978,638.83510,1.28000,3.600,415.1350000
"TOI-1801 b","TOI-1801",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",10.64387000,2.079,5.73800,3.70100,0.700,30.6796000
"K2-371 b","K2-371",1,1,0,0,"Transit",2022,"K2",3.11500000,,,,,442.8130000
"TOI-2525 b","TOI-2525",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",23.34185357,9.727,,,,395.3980000
"TOI-4308 b","TOI-4308",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.15127760,2.451,,,,108.9320000
"TOI-5126 b","TOI-5126",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.45883850,4.740,,,0.800,160.4140000
"TOI-836 c","TOI-836",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",8.59545000,2.587,9.60000,3.06000,5.400,27.5024000
"TOI-2000 b","TOI-2000",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.09836700,2.471,,,,175.7130000
"LHS 475 b","LHS 475",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.02908800,0.991,,,,12.4814000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41193780,15.471,,,,175.6310000
"TOI-125 c","TOI-125",1,3,0,0,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",9.15067000,2.790,,,6.600,111.0590000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41193950,,,,,175.6310000
"TOI-2525 c","TOI-2525",1,2,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",49.25190000,10.133,208.81326,1.11000,3.990,395.3980000
"TOI-913 b","TOI-913",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",11.09864400,2.453,,,,65.1769000
"WASP-62 b","WASP-62",1,1,0,0,"Transit",2012,"SuperWASP",4.41195300,15.581,180.52744,0.26200,2.600,175.6310000
"TOI-2459 b","TOI-2459",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",19.10470192,2.937,,,,36.6113000
"TOI-5704 b","TOI-5704",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.77110663,3.341,,,,89.6370000
"WASP-100 b","WASP-100",2,1,0,0,"Transit",2014,"SuperWASP",2.84938190,,,,,364.4110000
"TOI-4551 b","TOI-4551",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.95629600,8.324,,,,215.9860000
"TOI-4551 b","TOI-4551",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.95581000,11.859,473.56433,1.74000,4.920,215.9860000
"HIP 65 A b","HIP 65 A",2,1,0,0,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0.98097200,5.916,,,,61.7856000
"WASP-94 A b","WASP-94 A",2,2,0,0,"Transit",2014,"SuperWASP",3.95020080,20.536,,,,211.2110000
"TOI-4145 A b","TOI-4145 A",2,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.06644280,13.305,136.66622,0.32000,4.700,205.3870000
"TOI-2842 b","TOI-2842",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.55140580,12.845,117.59651,0.30400,4.700,460.9950000
"TOI-3364 b","TOI-3364",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.87688770,12.169,,,,277.8990000
"TOI-3819 b","TOI-3819",1,1,0,0,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.24430510,12.504,,,,558.1410000
